,worker_id,group,flesch_coded,org,trust_binary
209,36871506,A,-1,The New York Times,Agree
208,36871506,A,0,The Wall Street Journal,Agree
141,36871506,B,0,CNN,Agree
143,36871506,B,1,CNN,Agree
140,36871506,B,-1,The New York Times,Agree
142,36871506,B,-1,The New York Times,Agree
144,36871506,B,-1,The New York Times,Agree
311,36882579,A,1,CNN,Agree
313,36882579,A,1,CNN,Agree
314,36882579,A,0,CNN,Agree
310,36882579,A,-1,The New York Times,Agree
312,36882579,A,0,The New York Times,Agree
166,36882579,B,-1,The New York Times,Agree
169,36882579,B,0,The New York Times,Agree
165,36882579,B,-1,The Wall Street Journal,Agree
167,36882579,B,-1,The Wall Street Journal,Neutral
168,36882579,B,1,the Associated Press,Agree
47,36917158,B,0,Fox News,Neutral
48,36917158,B,1,Fox News,Disagree
45,36917158,B,-1,The New York Times,Neutral
46,36917158,B,0,The New York Times,Agree
49,36917158,B,-1,The Wall Street Journal,Neutral
18,37078496,A,1,CNN,Neutral
19,37078496,A,1,Fox News,Agree
15,37078496,A,-1,The New York Times,Agree
16,37078496,A,0,The New York Times,Neutral
17,37078496,A,0,The New York Times,Neutral
261,37078496,B,1,CNN,Agree
264,37078496,B,0,CNN,Agree
260,37078496,B,-1,The New York Times,Agree
263,37078496,B,0,The New York Times,Neutral
262,37078496,B,1,the Associated Press,Agree
56,37198978,A,1,Fox News,Disagree
58,37198978,A,0,Fox News,Agree
57,37198978,A,0,The New York Times,Disagree
59,37198978,A,-1,The New York Times,Disagree
55,37198978,A,-1,The Wall Street Journal,Disagree
252,37198978,B,1,CNN,Agree
253,37198978,B,1,Fox News,Agree
250,37198978,B,0,The New York Times,Agree
254,37198978,B,1,The New York Times,Disagree
251,37198978,B,-1,The Wall Street Journal,Disagree
57,37207829,B,0,Fox News,Neutral
58,37207829,B,1,Fox News,Neutral
55,37207829,B,-1,The New York Times,Agree
56,37207829,B,0,The New York Times,Disagree
59,37207829,B,-1,The Wall Street Journal,Disagree
